Timestamp,Date,LayerZero,Circle CCTP,Wormhole,Hyperlane
1735689600,2025-01-01,,85129611.53292829,49916295.96603532,
1735776000,2025-01-02,,116057735.6356366,115007345.65721533,
1735862400,2025-01-03,,122656119.04431777,74358066.28156401,
1735948800,2025-01-04,,85943095.86419165,52965799.82477179,
1736035200,2025-01-05,,59291108.43611849,53502420.91280063,
1736121600,2025-01-06,,119379666.33947004,116629069.13710403,
1736208000,2025-01-07,,60308962.20203587,90762527.84805612,
1736294400,2025-01-08,,74749998.47120896,88875757.28812021,
1736380800,2025-01-09,,83077356.27445737,52261639.63614117,
1736467200,2025-01-10,,83229414.08355114,48566268.47032918,
1736553600,2025-01-11,,60777013.80331792,33354892.448542222,
1736640000,2025-01-12,,54502410.25592488,44929772.72735852,
1736726400,2025-01-13,,141568758.33942056,82399856.95443383,
1736812800,2025-01-14,,102962795.54880711,88791922.4114129,
1736899200,2025-01-15,,107336789.30590595,60186341.97044271,
1736985600,2025-01-16,,89175275.30144674,63612215.53233132,
1737072000,2025-01-17,,122824870.30053364,85389493.5990139,
1737158400,2025-01-18,,327353553.8349456,239387926.9793013,
1737244800,2025-01-19,,673811211.0322443,291779144.20099205,
1737331200,2025-01-20,,538017529.5671988,180757211.37827307,
1737417600,2025-01-21,,183795890.8368168,131319344.84428138,
1737504000,2025-01-22,,127922523.5987048,83866827.89443037,
1737590400,2025-01-23,,149125282.7358835,101321934.71439973,
1737676800,2025-01-24,,115682112.29245847,84814054.52329667,
1737763200,2025-01-25,,81515824.2143443,43614576.43435191,
1737849600,2025-01-26,,79121831.270083,58928554.43952526,
1737936000,2025-01-27,,169761798.8543309,94219050.70322168,
1738022400,2025-01-28,,114133259.8460431,76418111.71229646,
1738108800,2025-01-29,,98853407.84976262,75030844.5515258,
1738195200,2025-01-30,,121173228.036673,93179678.48025069,
1738281600,2025-01-31,,125470065.87475789,59292999.65985377,
1738368000,2025-02-01,3101.59572199605,112172215.14797522,46458501.93644768,
1738454400,2025-02-02,3609.941056797955,143417181.56560868,71120855.07705715,
1738540800,2025-02-03,8913.93650931269,257084917.60274145,106405686.64757466,
1738627200,2025-02-04,3913.53967271285,139714400.86625606,61742498.68845685,
1738713600,2025-02-05,6130.37133734828,147249346.12443024,55411127.97315167,
1738800000,2025-02-06,24408.726667639967,132961581.7220992,58393662.47788024,
1738886400,2025-02-07,22842.911790550537,95632642.95609269,63564614.94870052,
1738972800,2025-02-08,33202.22699830869,72046710.65665895,38184223.57723768,
1739059200,2025-02-09,2973608.172032173,54421539.25099401,55335676.35019012,
1739145600,2025-02-10,112086324.1536402,81642155.22082785,59400566.787529856,
1739232000,2025-02-11,172370228.22921887,82326720.03825414,44535087.82666226,
1739318400,2025-02-12,189268608.49278587,62119405.714828864,44295538.38476182,
1739404800,2025-02-13,137351204.31826797,72769485.63792624,52430738.74474088,
1739491200,2025-02-14,145097644.71855545,113501655.79956892,51441109.75531799,
1739577600,2025-02-15,101580446.09202236,62453481.534392536,27342052.160928,
1739664000,2025-02-16,102171205.20367092,66068313.08808486,68562427.55029002,
1739750400,2025-02-17,162566282.11709112,74466036.40458004,62899280.73874442,
1739836800,2025-02-18,136719192.4626828,123179015.26248212,59982279.045205966,
1739923200,2025-02-19,43062029.74103658,103348853.30774684,44071125.50745459,
1740009600,2025-02-20,28231291.536824472,94370872.061969,78064982.38060945,
1740096000,2025-02-21,381848274.4012416,120284298.00865915,36683430.69499193,
1740182400,2025-02-22,262950134.34922147,82674192.32218584,31629368.92755969,
1740268800,2025-02-23,123002241.97483756,72513638.76711468,29989134.6683952,
1740355200,2025-02-24,170322271.0433864,112398751.35481513,48621795.45151067,
1740441600,2025-02-25,280671372.2706785,138335389.43089503,85436479.86507934,
1740528000,2025-02-26,198204086.8189232,94499529.15895472,66142362.50525852,
1740614400,2025-02-27,153551795.9435894,73757949.18789414,30915528.41631632,
1740700800,2025-02-28,224623720.4329873,119101997.26851782,45520084.13663691,
1740787200,2025-03-01,146034636.9800694,69820146.36085999,103229419.8134023,
1740873600,2025-03-02,196696776.4980211,84837058.70341502,60109259.8987946,
1740960000,2025-03-03,187997066.31428465,99072691.26751816,42124263.19467548,
1741046400,2025-03-04,165549032.68629247,94444656.3609648,41541411.53794368,
1741132800,2025-03-05,171502416.11885983,62824908.70397778,74072170.01734173,
1741219200,2025-03-06,166864973.7835092,66881012.851391695,22916927.23507761,
1741305600,2025-03-07,135711849.77049768,57477484.00388399,27885239.88850691,
1741392000,2025-03-08,102685357.170999,57902083.06473608,27580913.039309982,
1741478400,2025-03-09,100081598.06557073,51832608.98334444,16731653.009023633,
1741564800,2025-03-10,179681983.21952337,134339542.45754662,45606630.423961625,
1741651200,2025-03-11,156821488.72126883,109985478.30220827,56810679.45363161,
1741737600,2025-03-12,13606239.152740724,90689141.40394096,41146141.16535342,
1741824000,2025-03-13,142172751.35715204,82673882.65032178,32317439.913046125,
1741910400,2025-03-14,152914645.9425813,112542902.16410948,35410458.59851448,
1741996800,2025-03-15,84593228.02604905,73010681.64282829,22265469.64060794,
1742083200,2025-03-16,73340962.95662376,52996959.21533753,15865186.401816,
1742169600,2025-03-17,144584461.81410387,63734002.420901,27427472.975664645,
1742256000,2025-03-18,141431132.76674145,73139392.47558343,32977483.008013114,
1742342400,2025-03-19,192261161.21983972,75187400.76596564,41450046.94830319,
1742428800,2025-03-20,182973751.3987748,96929180.5534779,28107239.236657094,
1742515200,2025-03-21,127640215.41973752,72599914.54902717,27383577.50024193,69586.2256835
1742601600,2025-03-22,49004258.328305736,32059365.466772515,14746834.15726519,11968188.096532
1742688000,2025-03-23,69826893.45158356,29010162.07986752,13305971.503861338,5903324.3533905
1742774400,2025-03-24,323525857.8080636,92387018.02565716,29763674.7099485,7002143.7928355
1742860800,2025-03-25,329893335.8352711,73262229.36921926,27516477.42539592,6687236.243979
1742947200,2025-03-26,176450558.55379537,80234497.28940469,36268111.418705925,11732929.210784
1743033600,2025-03-27,229491242.02825156,107513264.21373837,24769422.81503638,14380588.6874275
1743120000,2025-03-28,287355129.4126953,89950811.26632062,31214946.18581422,15798071.645155003
1743206400,2025-03-29,192863950.42033145,39819244.5494436,17992738.547593296,12566983.5700995
1743292800,2025-03-30,220900976.8760664,42917205.92543367,13903925.227610383,10370007.704038495
1743379200,2025-03-31,270492475.28963923,96735994.40393788,21526514.70067913,7719493.540190501
1743465600,2025-04-01,329679123.89672863,73156854.94099909,38787418.19744632,5216201.548588499
1743552000,2025-04-02,336530107.24460423,140955652.69858304,52956332.74164587,4267515.3164795
1743638400,2025-04-03,271025160.43954086,150191756.0138451,21983729.99623924,10699808.668980502
1743724800,2025-04-04,179936491.2431172,125589084.32147431,22649896.284846958,4336876.257305
1743811200,2025-04-05,121577725.46375787,57948614.07718766,35022413.4768004,1726561.7490480002
1743897600,2025-04-06,142876236.55380195,72044000.94796276,19176414.850506872,3788177.6146765
1743984000,2025-04-07,373931549.1841484,175806857.4457206,41895970.59157957,9575592.3045865
1744070400,2025-04-08,189224843.23330688,106688447.72873531,24803205.38959092,2387125.5102275
1744156800,2025-04-09,194090944.37595108,88671616.2340478,29514095.82152649,3035650.0972
1744243200,2025-04-10,224364888.13656,129166024.58295529,30432982.251730543,3612870.995906501
1744329600,2025-04-11,172704757.57501566,97671092.10418992,25101744.358084884,3433478.0251685
1744416000,2025-04-12,125647775.513146,74275726.85057333,21030792.772189397,5228908.1697815005
1744502400,2025-04-13,27020612.00095409,75580135.83097288,26289397.268087044,4350102.155768501
1744588800,2025-04-14,165961731.73209864,81818420.57839808,22962128.866950773,3066559.5185590005
1744675200,2025-04-15,199801273.28132576,116474610.16886967,24444576.310802046,6471399.285886
1744761600,2025-04-16,300280844.9501509,150818507.01011798,112120253.14465642,7192592.7703855
1744848000,2025-04-17,202028772.8871329,114626004.32223164,28380609.503299814,6266983.9793725
1744934400,2025-04-18,159115916.9489215,102583005.59682845,34819543.23764072,2282177.2365815
1745020800,2025-04-19,112787340.98877144,49086870.83104603,15806287.62694002,1573060.8513034997
1745107200,2025-04-20,100570858.23590995,63699278.30794217,79628811.55119336,3127353.8147815
1745193600,2025-04-21,138113239.58935446,91305166.94674104,25013298.7580055,3248839.9916875004
1745280000,2025-04-22,166215166.09716764,149370640.59611017,52373802.71583729,61742523.37668675
1745366400,2025-04-23,200211026.48122996,147930168.42018795,39653941.19857751,14191357.252851998
1745452800,2025-04-24,204208642.42970183,126942141.96387118,40966270.09031242,4167200.7435605
1745539200,2025-04-25,166829808.1836128,107351233.11315356,25676703.03500679,10676868.9446885
1745625600,2025-04-26,83093110.96686786,102308727.10461152,69607083.1284913,5591222.746595001
1745712000,2025-04-27,112663352.34696686,60636051.50114568,15431046.04027447,3896039.9733975
1745798400,2025-04-28,156129468.58957997,52902682.85822676,17565761.278271526,4655478.305801
1745884800,2025-04-29,230191657.4311848,123592673.07078324,84141227.37092215,3790813.8447735
1745971200,2025-04-30,170131990.27277702,92242972.39346024,31202171.41333903,17057182.6985605
1746057600,2025-05-01,186497251.85508245,142453902.30677566,30323994.013987813,4392174.986535501
1746144000,2025-05-02,100043196.47990128,78063240.52683882,22092304.034056425,6536584.010789501
1746230400,2025-05-03,85839965.84794664,58037965.29496841,21993431.36659243,2749208.994465
1746316800,2025-05-04,144669633.71821028,85803031.96620107,13894849.19529017,2002258.218294
1746403200,2025-05-05,156425773.06154183,111848160.0683726,20085490.199357744,5144832.3580945
1746489600,2025-05-06,461250265.43613553,126132094.77946655,27083493.49383072,3596554.4166440004
1746576000,2025-05-07,296518204.1094741,86690210.80129902,66898248.77692704,6826170.277215501
1746662400,2025-05-08,323471271.94099736,196998237.96578535,76504273.132687,3154097.8308864995
1746748800,2025-05-09,708147894.3018346,172273335.3330198,63427598.26609492,43308000.81862299
1746835200,2025-05-10,401128577.5527135,93489444.41986486,32869758.395198897,5250199.938802499
1746921600,2025-05-11,199749316.41079503,73898169.63043773,25818551.658967257,10335930.292518005
1747008000,2025-05-12,591006211.3042139,128626224.57823569,36918784.537848055,9540356.654881
1747094400,2025-05-13,450944377.2704455,109538027.34303996,39297983.98177257,19390268.971577
1747180800,2025-05-14,336922237.2335839,105181294.63005376,38484518.74730247,25609589.05968749
1747267200,2025-05-15,180029993.87667552,109117126.62969506,27388173.747260623,30638233.616454497
1747353600,2025-05-16,185692943.6280404,79406136.18222623,32663260.977699947,24308153.584904004
1747440000,2025-05-17,107329543.11579973,63864502.411105245,35127395.50986401,17646470.4422125
1747526400,2025-05-18,117323884.47526763,70400565.94519849,22507171.137548137,19072214.089418508
1747612800,2025-05-19,9199362.025558308,115126535.7900385,34013238.323521115,18891767.24931449
1747699200,2025-05-20,265172873.3351726,104074578.05931856,33831907.442494884,17583020.4027155
1747785600,2025-05-21,143095044.45969245,124376013.00360788,44988977.16297564,21347049.2566115
1747872000,2025-05-22,220617663.72251832,271890151.07033384,79363316.65221092,13671745.101732915
1747958400,2025-05-23,283322410.3008807,255963072.97402427,53704426.86148125,3645382.857699511
1748044800,2025-05-24,112031821.64908203,76408366.92665765,16090147.963942029,3204023.0696285004
1748131200,2025-05-25,77248204.55172211,72163270.92125061,11008245.72817504,2616112.2694650004
1748217600,2025-05-26,117623898.71326797,74995087.28124782,32570782.26313342,2720025.5773275
1748304000,2025-05-27,168733389.8476283,84290007.78761137,36721769.33939645,2162673.292946
1748390400,2025-05-28,133856015.65065846,84501342.39398286,44546510.62257728,18029435.937552
1748476800,2025-05-29,239048616.74587288,102640535.91124842,30631826.09640672,60404957.648381
1748563200,2025-05-30,192606566.15962484,141035388.11356968,40958317.90364032,2286779.3886240004
1748649600,2025-05-31,314865116.3390989,67473353.60151005,17839078.59182299,1539683.9039724998
1748736000,2025-06-01,262370748.2528968,51729879.73214073,24459656.03632253,1172853.521676
1748822400,2025-06-02,218853939.6731346,96049915.1910554,46495657.32659812,21663426.23019749
1748908800,2025-06-03,167438359.94330686,107673585.77971742,40762008.957510725,71701692.28568998
1748995200,2025-06-04,159693387.52318895,86838604.15856592,35418853.82635875,143923349.56513637
1749081600,2025-06-05,175031591.26715195,126804334.68736084,36508866.14488336,128762381.89110155
1749168000,2025-06-06,230267093.6147089,141282120.2348749,31175270.305405192,47775363.03768599
1749254400,2025-06-07,151809638.37687862,45380426.06544228,21116043.85612034,118840609.0280715
1749340800,2025-06-08,84174722.51194027,55771714.27342542,28612370.4427592,98392971.67114854
1749427200,2025-06-09,189448757.39581555,150177774.928528,43971370.77965162,96345394.40728553
1749513600,2025-06-10,484106352.5032976,162735904.53176388,33719687.372518,64964820.17680951
1749600000,2025-06-11,153838150.10550737,147238857.52714786,31963705.500102665,4998571.242782501
1749686400,2025-06-12,164029497.68015766,124523552.38216493,50652918.043584205,1918438.802378
1749772800,2025-06-13,169995556.63888925,115478939.68873394,52305989.499089465,3105299.211657
1749859200,2025-06-14,112560695.63779894,48215470.29058352,16834770.38164846,3432731.8063839995
1749945600,2025-06-15,84398179.02994663,47755900.1227902,21852459.24280419,837188.4196565
1750032000,2025-06-16,232765601.26868647,101458355.3205402,25604344.313297287,2681905.879737499
1750118400,2025-06-17,170823552.271051,100444003.17972788,32630559.460099038,2089879.329248
1750204800,2025-06-18,119743619.09332114,77633776.12468536,18147054.20432443,1339275.7677470003
1750291200,2025-06-19,116890261.61089276,78445345.01242463,19307300.61667243,1102931.8124165
1750377600,2025-06-20,321652115.1974678,102583017.06774013,21045526.837793887,1979022.859376
1750464000,2025-06-21,108737549.01382942,89606998.27397107,23389752.08574783,844705.3474915
1750550400,2025-06-22,97467812.06252769,140643154.29628688,21358605.444042157,5291712.589672001
1750636800,2025-06-23,157945499.82589892,122475369.01532826,48184512.59082286,1936029.112911
1750723200,2025-06-24,285658886.9558263,144415338.6297582,26367565.680806227,3408333.0286680004
1750809600,2025-06-25,143044235.4670325,98180379.55008958,23885138.473974355,5501683.4167885
1750896000,2025-06-26,209135283.15373465,126203990.04655924,24841225.360517472,3825521.1387395
1750982400,2025-06-27,203131201.4789024,77141180.01236667,21352024.075903237,19113423.1399825
1751068800,2025-06-28,60507469.73385367,53812044.07998969,15873159.971280012,3069547.0880259997
1751155200,2025-06-29,101874964.99012189,62101226.75033777,23308842.60227928,1840803.764696
1751241600,2025-06-30,124817226.2635216,94203630.32221198,42538508.56454695,1673752.4681439998
1751328000,2025-07-01,172367960.70338717,119507117.10286772,21585335.020246927,2337554.482146
1751414400,2025-07-02,196291207.88512936,129026322.4184724,26616945.30908951,3646942.222459
1751500800,2025-07-03,131956857.7266428,102518208.629448,1034041047.4117572,14079088.1564325
1751587200,2025-07-04,169369576.43829292,91508385.46340978,15036631.014348174,8804496.3534765
1751673600,2025-07-05,120418412.15462968,34400279.08003914,17931172.783271044,4882901.8159825
1751760000,2025-07-06,117530932.415395,33658729.36526185,10484439.3305531,3021490.556157
1751846400,2025-07-07,121563035.05592458,99427817.34579629,25105496.411223445,3612495.267297
1751932800,2025-07-08,137734663.681991,92286186.38236634,25394110.92623666,2329496.8078445
1752019200,2025-07-09,,24749014.09024635,4110667.200075424,4292893.6260515
