Date,LayerZero,Circle CCTP,Wormhole,Hyperlane
2024-10,0.0,1438498467.4341264,0.0,0.0
2024-11,0.0,2790280177.661901,968720843.6795465,0.0
2024-12,0.0,3737023365.864367,2947285632.09473,0.0
2025-01,0.0,4474708500.58352,2815439947.1816735,0.0
2025-02,3128758085.722449,2904512275.4625545,1524580221.2246904,0.0
2025-03,5114950407.387244,2366810921.491135,1053967699.5917974,104198553.07011549
2025-04,5556944416.273387,3101435018.560972,1109437909.2707956,220656523.74918926
2025-05,7310411525.119437,3466759374.646986,1109647826.1240642,407603954.5179734
2025-06,5262211948.541288,2977004787.276313,903683747.9974643,863533618.0413045
